"flux","USFLUX","MEANGAM","MEANGBT","MEANGBZ","MEANGBH","MEANJZD","TOTUSJZ","MEANALP","MEANJZH","TOTUSJH","ABSNJZH","SAVNCPP","MEANPOT","TOTPOT","MEANSHR","SHRGT45","NPIX","SIZE","AREA","NACR","SIZE_ACR","AREA_ACR","lagged_flux"
2.59554076365021e-06,1.13674668347263e+22,45.4981389932448,116.4997123086,117.187436731605,56.8324284733325,0.311030784345839,34570001215374.5,0.00963167983533335,0.00313950760277665,888.398725414043,110.498012803945,4148268550607.42,5455.75523519775,1.28813862521162e+23,41.7091676547798,37.1721574163353,125755.831591807,11404.5665790268,6591.09840468066,12104.3593151349,1097.72221642757,633.546340845518,6.3928587223927e-07
2.99343264487106e-06,1.31811668285319e+22,44.417391444109,105.966444897803,106.569869408605,51.5480419221034,0.160348472294071,32305924368221.2,0.00803439361830409,0.00285302568562602,885.284518520174,88.5439332257544,3500376886463.93,5383.93365591025,1.41452011027767e+23,40.3141263348975,35.2950523676506,107903.104134188,9783.30055819175,5969.05571802662,10075.4867477116,913.518807115413,553.629220338937,2.59554076365021e-06
1.85124758900201e-06,1.7096688531378e+22,54.7374878044129,112.575800613159,113.287934508084,55.7192580013588,0.348229074439326,102322429374975,0.00264935264167783,0.00104791357976684,1630.88677439449,102.870058602737,8504136307091.53,6189.34262147708,2.39120573698859e+23,53.471824310458,54.0866834222778,131997.459306734,11963.4425772275,7418.90801813773,11522.1618801127,1044.29279048708,656.360749547252,2.99343264487106e-06
4.57624082628172e-06,2.41474179300411e+22,45.1115089270988,109.804542895581,112.962657423691,53.4136293232697,0.315401358356477,41225936534855.6,0.00280330335217425,0.00111815020274144,1623.33003141431,89.9098633715891,7610576312011.17,6071.62695788377,2.73691186377672e+23,40.9700457786087,35.9596225683147,133571.385177426,12112.0392995068,7723.9499524113,11669.177562892,1058.47767430112,785.091497293856,1.85124758900201e-06
9.01721250556875e-06,2.83057138085669e+22,37.9024859358916,99.3168767750232,103.418748870763,47.673517199992,0.277292755027933,32888206701617.7,0.0029380633574946,0.00115811152846445,1774.85920681169,136.604270478819,5654403452598.85,5747.77409260546,2.97333772347225e+23,30.5802052614857,19.4945194773475,109667.587968462,9940.98756212089,7687.23277413968,11382.5928830289,1032.08750729393,826.960262123491,4.57624082628172e-06
4.43741600975045e-06,2.321241844222e+22,36.5167128562153,99.9190527777648,104.446640184303,48.1575207373352,0.105954677990795,26039735115997.8,0.00290532964328624,0.00111370676888484,1373.49944446369,130.333518847047,5359664770153.12,5710.24806223966,2.53079726520167e+23,30.2489621875334,19.4364437108496,60549.1487143408,5487.57559343922,5357.87523280451,6388.93634456883,579.053632942394,619.940305569242,9.01721250556875e-06
2.17720662476495e-06,1.18827619979298e+22,37.4043393662734,111.916089730296,112.519151374404,51.688658078748,0.170480533487177,13099265168874,0.0120122031044419,0.0037276732078429,643.377006242551,119.482923448288,4752027052235.62,5608.89891594578,1.17712733162986e+23,30.8303519559863,19.2316264653707,63207.5683803578,5727.67937180293,3725.6764764113,6216.29528557142,563.301959625404,412.293703218371,4.43741600975045e-06
1.15046827886545e-06,1.48059944723303e+22,42.8842224037895,115.023337554572,114.045194525501,52.9398437279204,0.327927839994768,24815243244506,0.0152875745906008,0.00446400423359165,810.041366621516,116.441080723984,6283144260833.62,5185.88126463765,1.37368622733997e+23,38.395399948116,32.2932810036642,63743.5818069728,5771.25740208163,3710.60074612599,6286.70573559426,569.199853503755,396.098979746703,2.17720662476495e-06
1.34043170874065e-06,1.57143516841322e+22,42.3205629394169,102.139366722177,103.34622766377,47.776669687071,0.117641513852621,26367685866610.9,0.012153549376043,0.00374963466424343,864.661854558378,102.551050657986,6091919584532.21,4911.98222247813,1.31914806607631e+23,37.0381217025609,28.9503728369387,64702.88189149,5861.31922018875,4114.92949596988,7008.98404164829,634.931429598644,441.084793772801,1.15046827886545e-06
3.92433094020816e-07,1.41865724812712e+22,44.9741025701746,111.790614308654,112.306324374283,54.1617772995306,0.178325700021499,31130831358717.1,0.0118377776176997,0.00426544896193102,923.363867441969,59.2303327232779,3886157071033.65,5459.60056418003,1.29845133544259e+23,39.963286594362,33.9778975237834,91825.8671158482,8315.96093260404,5198.30421392289,10076.1064711918,912.553041542125,570.567321130709,1.34043170874065e-06
4.13879718053067e-07,1.21930180947965e+22,46.3489810809017,118.02402473218,118.440502791456,54.0307581534954,0.315553720026638,32467562791290.1,0.0121461447991745,0.00448190645671948,929.752762121857,60.4328348404849,4605519271461.1,5192.18747477803,1.15867119332282e+23,41.2778002050385,35.635403447573,102438.481998301,9274.73498267109,5526.9873619649,10927.0265161575,988.539869029277,594.102504774742,3.92433094020816e-07
8.06525974894612e-07,1.14475481090373e+22,44.9752248181562,117.080461957044,116.648370195009,52.8103916638547,0.434210572845898,28662979974886.5,0.011065517014137,0.00345244823032753,794.368144692753,51.294306782547,4844421812915.52,3878.02098659577,9.13356378632678e+22,41.1591246254564,35.044695609174,105257.328621036,9520.20024274361,5735.93533885541,10504.4353378329,950.093716566411,559.710966302438,4.13879718053067e-07
6.24882261490711e-07,1.00096037206037e+22,33.7380359019653,111.383489480597,111.302591561893,47.9484972891922,0.387950342058216,11530747195495.7,0.0140552852880205,0.00459875813418079,528.429711052653,66.4703137612442,4842036407924.89,3444.25359108743,6.06863686308041e+22,26.8754124812701,12.623981883966,102707.928405371,9294.43621011342,5698.24436899153,9346.9811530743,845.844351542093,509.446005207945,8.06525974894612e-07
8.25766392154037e-07,9.08010426813849e+21,33.8370507278822,116.075739125898,115.855430292273,51.3222860282464,0.406362607968804,10540236984680.5,0.0098218011824074,0.0028420225330358,462.040873256157,61.491475313325,3714239719125.09,3265.14813018584,4.59726632575035e+22,26.5877968137173,11.8995198157205,99559.6927500635,8999.42396336132,5508.7592287331,8220.20179508202,743.04249416744,438.715658364542,6.24882261490711e-07
5.87693136822054e-07,6.82214203073209e+21,36.4989518125373,116.115379319444,116.249179898302,54.920585538695,0.39579505751554,9566303099099.73,0.00784656382577043,0.00286311949654818,446.551353197519,73.0401911541686,4350905955176.39,3949.14481565173,5.41278464181761e+22,28.2372671406064,15.1470924067321,82644.8093564464,7470.59510250896,4515.13657001691,6999.87766229557,632.781636589023,380.278852893517,8.25766392154037e-07
2.82589189737337e-06,8.91875641001633e+21,35.7418518310737,117.966944357366,118.887477974236,55.7783594299316,0.263845237409013,10869582843468.6,0.00494631936126314,0.00135158731304571,499.38583565397,83.9860040316597,3623244231162.3,3975.4428392516,5.65700383991758e+22,27.8767386065627,14.5534893970737,82079.4737916728,7414.69336651762,4882.98432870355,7004.99342822237,632.800152134166,387.5804710328,5.87693136822054e-07
3.05144453704997e-06,1.03349681594856e+22,31.3732778432417,111.143344995049,111.634990102505,45.3476237734531,0.11428250515002,10858053933232.1,0.00650786599559322,0.00226271663792549,500.548528625459,52.7270870726016,3298323220369.32,2985.0091840959,4.96200086312173e+22,26.4016410015709,9.52412292018647,70530.1960281343,6369.61379729474,4564.52520425684,5311.29930613811,479.661027794789,339.649152443537,2.82589189737337e-06
